Año	Mes	violence type	VictimsCount
1963	8	VS	0
1963	9	VI	0
1963	9	VS	3
1963	10	VI	0
1963	10	VS	0
1963	11	VI	0
1963	11	VS	1
1963	12	VI	0
1963	12	VS	1
1964	1	VI	0
1964	1	VS	1
1964	2	VI	0
1964	2	VS	1
1964	3	VI	0
1964	3	VS	1
1964	4	VI	0
1964	4	VS	3
1964	5	VI	0
1964	5	VS	1
1964	6	VI	0
1964	6	VS	3
1964	7	VI	0
1964	7	VS	6
1964	8	VI	0
1964	8	VS	0
1964	9	VI	0
1964	9	VS	0
1964	10	VI	0
1964	10	VS	0
1964	11	VI	0
1964	11	VS	7
1964	12	VI	0
1964	12	VS	3
1965	1	VI	0
1965	1	VS	15
1965	2	VI	0
1965	2	VS	2
1965	3	VI	0
1965	3	VS	4
1965	4	VI	0
1965	4	VS	2
1965	5	VI	0
1965	5	VS	7
1965	6	VI	0
1965	6	VS	0
1965	7	VI	0
1965	7	VS	1
1965	8	VI	0
1965	8	VS	0
1965	9	VI	0
1965	9	VS	0
1965	10	VI	0
1965	10	VS	3
1965	11	VI	0
1965	11	VS	1
1965	12	VI	0
1965	12	VS	0
1966	1	VI	0
1966	1	VS	2
1966	2	VI	0
1966	2	VS	0
1966	3	VI	0
1966	3	VS	0
1966	4	VI	0
1966	4	VS	0
1966	5	VI	0
1966	5	VS	0
1966	6	VI	0
1966	6	VS	0
1966	7	VI	0
1966	7	VS	0
1966	8	VI	0
1966	8	VS	0
1966	9	VI	0
1966	9	VS	0
1966	10	VI	0
1966	10	VS	0
1966	11	VI	0
1966	11	VS	1
1966	12	VI	0
1966	12	VS	0
1967	1	VI	0
1967	1	VS	0
1967	2	VI	0
1967	2	VS	0
1967	3	VI	0
1967	3	VS	0
1967	4	VI	0
1967	4	VS	0
1967	5	VI	0
1967	5	VS	0
1967	6	VI	0
1967	6	VS	0
1967	7	VI	0
1967	7	VS	0
1967	8	VI	0
1967	8	VS	0
1967	9	VI	0
1967	9	VS	0
1967	10	VI	0
1967	10	VS	0
1967	11	VI	0
1967	11	VS	0
1967	12	VI	0
1967	12	VS	0
1968	1	VI	0
1968	1	VS	0
1968	2	VI	0
1968	2	VS	0
1968	3	VI	0
1968	3	VS	1
1968	4	VI	0
1968	4	VS	0
1968	5	VI	0
1968	5	VS	0
1968	6	VI	0
1968	6	VS	0
1968	7	VI	0
1968	7	VS	0
1968	8	VI	0
1968	8	VS	0
1968	9	VI	0
1968	9	VS	0
1968	10	VI	0
1968	10	VS	0
1968	11	VI	0
1968	11	VS	0
1968	12	VI	0
1968	12	VS	0
1969	1	VI	0
1969	1	VS	0
1969	2	VI	0
1969	2	VS	0
1969	3	VI	0
1969	3	VS	4
1969	4	VI	0
1969	4	VS	0
1969	5	VI	0
1969	5	VS	3
1969	6	VI	0
1969	6	VS	1
1969	7	VI	0
1969	7	VS	4
1969	8	VI	0
1969	8	VS	8
1969	9	VI	0
1969	9	VS	1
1969	10	VI	0
1969	10	VS	0
1969	11	VI	0
1969	11	VS	0
1969	12	VI	0
1969	12	VS	2
1970	1	VI	0
1970	1	VS	6
1970	2	VI	0
1970	2	VS	3
1970	3	VI	0
1970	3	VS	1
1970	4	VI	0
1970	4	VS	2
1970	5	VI	0
1970	5	VS	4
1970	6	VI	0
1970	6	VS	3
1970	7	VI	0
1970	7	VS	9
1970	8	VI	0
1970	8	VS	1
1970	9	VI	0
1970	9	VS	0
1970	10	VI	0
1970	10	VS	2
1970	11	VI	0
1970	11	VS	0
1970	12	VI	0
1970	12	VS	3
1971	1	VI	0
1971	1	VS	1
1971	2	VI	0
1971	2	VS	0
1971	3	VI	0
1971	3	VS	0
1971	4	VI	0
1971	4	VS	2
1971	5	VI	0
1971	5	VS	0
1971	6	VI	0
1971	6	VS	0
1971	7	VI	0
1971	7	VS	0
1971	8	VI	0
1971	8	VS	1
1971	9	VI	0
1971	9	VS	1
1971	10	VI	0
1971	10	VS	0
1971	11	VI	0
1971	11	VS	1
1971	12	VI	0
1971	12	VS	0
1972	1	VI	0
1972	1	VS	2
1972	2	VI	0
1972	2	VS	0
1972	3	VI	0
1972	3	VS	4
1972	4	VI	0
1972	4	VS	0
1972	5	VI	0
1972	5	VS	4
1972	6	VI	0
1972	6	VS	5
1972	7	VI	0
1972	7	VS	0
1972	8	VI	0
1972	8	VS	0
1972	9	VI	0
1972	9	VS	0
1972	10	VI	0
1972	10	VS	0
1972	11	VI	0
1972	11	VS	0
1972	12	VI	0
1972	12	VS	0
1973	1	VI	0
1973	1	VS	2
1973	2	VI	0
1973	2	VS	1
1973	3	VI	0
1973	3	VS	1
1973	4	VI	0
1973	4	VS	0
1973	5	VI	0
1973	5	VS	1
1973	6	VI	0
1973	6	VS	0
1973	7	VI	0
1973	7	VS	0
1973	8	VI	0
1973	8	VS	1
1973	9	VI	0
1973	9	VS	0
1973	10	VI	0
1973	10	VS	3
1973	11	VI	0
1973	11	VS	0
1973	12	VI	0
1973	12	VS	0
1974	1	VI	0
1974	1	VS	0
1974	2	VI	0
1974	2	VS	0
1974	3	VI	0
1974	3	VS	0
1974	4	VI	0
1974	4	VS	0
1974	5	VI	0
1974	5	VS	3
1974	6	VI	0
1974	6	VS	0
1974	7	VI	0
1974	7	VS	0
1974	8	VI	0
1974	8	VS	0
1974	9	VI	0
1974	9	VS	0
1974	10	VI	0
1974	10	VS	0
1974	11	VI	0
1974	11	VS	0
1974	12	VI	0
1974	12	VS	0
1975	1	VI	0
1975	1	VS	0
1975	2	VI	0
1975	2	VS	3
1975	3	VI	0
1975	3	VS	3
1975	4	VI	0
1975	4	VS	1
1975	5	VI	0
1975	5	VS	0
1975	6	VI	0
1975	6	VS	4
1975	7	VI	0
1975	7	VS	0
1975	8	VI	0
1975	8	VS	16
1975	9	VI	0
1975	9	VS	8
1975	10	VI	0
1975	10	VS	2
1975	11	VI	0
1975	11	VS	0
1975	12	VI	0
1975	12	VS	0
1976	1	VI	0
1976	1	VS	0
1976	2	VI	0
1976	2	VS	1
1976	3	VI	0
1976	3	VS	7
1976	4	VI	0
1976	4	VS	1
1976	5	VI	0
1976	5	VS	5
1976	6	VI	0
1976	6	VS	2
1976	7	VI	0
1976	7	VS	3
1976	8	VI	0
1976	8	VS	4
1976	9	VI	0
1976	9	VS	3
1976	10	VI	0
1976	10	VS	2
1976	11	VI	0
1976	11	VS	1
1976	12	VI	0
1976	12	VS	1
1977	1	VI	0
1977	1	VS	1
1977	2	VI	0
1977	2	VS	1
1977	3	VI	0
1977	3	VS	0
1977	4	VI	0
1977	4	VS	7
1977	5	VI	0
1977	5	VS	4
1977	6	VI	0
1977	6	VS	2
1977	7	VI	0
1977	7	VS	1
1977	8	VI	0
1977	8	VS	0
1977	9	VI	0
1977	9	VS	0
1977	10	VI	0
1977	10	VS	1
1977	11	VI	0
1977	11	VS	1
1977	12	VI	0
1977	12	VS	1
1978	1	VI	0
1978	1	VS	7
1978	2	VI	0
1978	2	VS	2
1978	3	VI	0
1978	3	VS	1
1978	4	VI	0
1978	4	VS	2
1978	5	VI	0
1978	5	VS	7
1978	6	VI	0
1978	6	VS	2
1978	7	VI	0
1978	7	VS	6
1978	8	VI	0
1978	8	VS	9
1978	9	VI	0
1978	9	VS	15
1978	10	VI	0
1978	10	VS	0
1978	11	VI	0
1978	11	VS	1
1978	12	VI	0
1978	12	VS	3
1979	1	VI	0
1979	1	VS	4
1979	2	VI	0
1979	2	VS	1
1979	3	VI	0
1979	3	VS	3
1979	4	VI	0
1979	4	VS	7
1979	5	VI	0
1979	5	VS	4
1979	6	VI	0
1979	6	VS	3
1979	7	VI	0
1979	7	VS	5
1979	8	VI	0
1979	8	VS	2
1979	9	VI	0
1979	9	VS	5
1979	10	VI	0
1979	10	VS	5
1979	11	VI	0
1979	11	VS	4
1979	12	VI	0
1979	12	VS	7
1980	1	VI	0
1980	1	VS	4
1980	2	VI	0
1980	2	VS	2
1980	3	VI	0
1980	3	VS	1
1980	4	VI	0
1980	4	VS	7
1980	5	VI	0
1980	5	VS	7
1980	6	VI	0
1980	6	VS	3
1980	7	VI	0
1980	7	VS	8
1980	8	VI	0
1980	8	VS	2
1980	9	VI	0
1980	9	VS	0
1980	10	VI	0
1980	10	VS	6
1980	11	VI	0
1980	11	VS	1
1980	12	VI	0
1980	12	VS	5
1981	1	VI	0
1981	1	VS	11
1981	2	VI	0
1981	2	VS	1
1981	3	VI	0
1981	3	VS	6
1981	4	VI	0
1981	4	VS	7
1981	5	VI	0
1981	5	VS	6
1981	6	VI	0
1981	6	VS	5
1981	7	VI	0
1981	7	VS	5
1981	8	VI	0
1981	8	VS	4
1981	9	VI	0
1981	9	VS	10
1981	10	VI	0
1981	10	VS	30
1981	11	VI	0
1981	11	VS	9
1981	12	VI	0
1981	12	VS	4
1982	1	VI	0
1982	1	VS	8
1982	2	VI	0
1982	2	VS	11
1982	3	VI	0
1982	3	VS	12
1982	4	VI	0
1982	4	VS	1
1982	5	VI	0
1982	5	VS	9
1982	6	VI	0
1982	6	VS	4
1982	7	VI	0
1982	7	VS	4
1982	8	VI	0
1982	8	VS	19
1982	9	VI	0
1982	9	VS	14
1982	10	VI	0
1982	10	VS	13
1982	11	VI	0
1982	11	VS	23
1982	12	VI	0
1982	12	VS	11
1983	1	VI	0
1983	1	VS	33
1983	2	VI	0
1983	2	VS	16
1983	3	VI	0
1983	3	VS	39
1983	4	VI	0
1983	4	VS	33
1983	5	VI	0
1983	5	VS	25
1983	6	VI	0
1983	6	VS	30
1983	7	VI	0
1983	7	VS	56
1983	8	VI	0
1983	8	VS	64
1983	9	VI	0
1983	9	VS	16
1983	10	VI	0
1983	10	VS	15
1983	11	VI	0
1983	11	VS	17
1983	12	VI	0
1983	12	VS	15
1984	1	VI	0
1984	1	VS	32
1984	2	VI	0
1984	2	VS	18
1984	3	VI	0
1984	3	VS	42
1984	4	VI	0
1984	4	VS	51
1984	5	VI	0
1984	5	VS	61
1984	6	VI	0
1984	6	VS	24
1984	7	VI	2
1984	7	VS	35
1984	8	VI	0
1984	8	VS	34
1984	9	VI	0
1984	9	VS	10
1984	10	VI	0
1984	10	VS	31
1984	11	VI	0
1984	11	VS	19
1984	12	VI	0
1984	12	VS	29
1985	1	VI	0
1985	1	VS	35
1985	2	VI	0
1985	2	VS	25
1985	3	VI	0
1985	3	VS	41
1985	4	VI	0
1985	4	VS	39
1985	5	VI	0
1985	5	VS	33
1985	6	VI	0
1985	6	VS	36
1985	7	VI	0
1985	7	VS	49
1985	8	VI	0
1985	8	VS	38
1985	9	VI	1
1985	9	VS	33
1985	10	VI	0
1985	10	VS	43
1985	11	VI	0
1985	11	VS	64
1985	12	VI	0
1985	12	VS	83
1986	1	VI	0
1986	1	VS	57
1986	2	VI	0
1986	2	VS	41
1986	3	VI	0
1986	3	VS	62
1986	4	VI	0
1986	4	VS	64
1986	5	VI	0
1986	5	VS	38
1986	6	VI	0
1986	6	VS	70
1986	7	VI	0
1986	7	VS	51
1986	8	VI	0
1986	8	VS	55
1986	9	VI	0
1986	9	VS	61
1986	10	VI	0
1986	10	VS	54
1986	11	VI	0
1986	11	VS	77
1986	12	VI	0
1986	12	VS	73
1987	1	VI	0
1987	1	VS	51
1987	2	VI	0
1987	2	VS	39
1987	3	VI	0
1987	3	VS	47
1987	4	VI	0
1987	4	VS	54
1987	5	VI	0
1987	5	VS	48
1987	6	VI	0
1987	6	VS	52
1987	7	VI	0
1987	7	VS	52
1987	8	VI	0
1987	8	VS	69
1987	9	VI	0
1987	9	VS	49
1987	10	VI	1
1987	10	VS	56
1987	11	VI	0
1987	11	VS	79
1987	12	VI	0
1987	12	VS	83
1988	1	VI	0
1988	1	VS	101
1988	2	VI	0
1988	2	VS	105
1988	3	VI	0
1988	3	VS	160
1988	4	VI	0
1988	4	VS	102
1988	5	VI	0
1988	5	VS	105
1988	6	VI	0
1988	6	VS	119
1988	7	VI	0
1988	7	VS	108
1988	8	VI	0
1988	8	VS	132
1988	9	VI	0
1988	9	VS	96
1988	10	VI	0
1988	10	VS	117
1988	11	VI	0
1988	11	VS	149
1988	12	VI	0
1988	12	VS	161
1989	1	VI	0
1989	1	VS	166
1989	2	VI	0
1989	2	VS	116
1989	3	VI	1
1989	3	VS	83
1989	4	VI	0
1989	4	VS	103
1989	5	VI	0
1989	5	VS	116
1989	6	VI	0
1989	6	VS	115
1989	7	VI	0
1989	7	VS	124
1989	8	VI	1
1989	8	VS	112
1989	9	VI	0
1989	9	VS	93
1989	10	VI	1
1989	10	VS	121
1989	11	VI	0
1989	11	VS	92
1989	12	VI	0
1989	12	VS	154
1990	1	VI	2
1990	1	VS	189
1990	2	VI	0
1990	2	VS	200
1990	3	VI	0
1990	3	VS	177
1990	4	VI	1
1990	4	VS	132
1990	5	VI	0
1990	5	VS	192
1990	6	VI	14
1990	6	VS	232
1990	7	VI	0
1990	7	VS	215
1990	8	VI	0
1990	8	VS	183
1990	9	VI	7
1990	9	VS	145
1990	10	VI	0
1990	10	VS	146
1990	11	VI	0
1990	11	VS	193
1990	12	VI	1
1990	12	VS	226
1991	1	VI	0
1991	1	VS	232
1991	2	VI	0
1991	2	VS	256
1991	3	VI	1
1991	3	VS	246
1991	4	VI	0
1991	4	VS	201
1991	5	VI	0
1991	5	VS	223
1991	6	VI	0
1991	6	VS	228
1991	7	VI	0
1991	7	VS	219
1991	8	VI	0
1991	8	VS	228
1991	9	VI	0
1991	9	VS	247
1991	10	VI	0
1991	10	VS	233
1991	11	VI	0
1991	11	VS	238
1991	12	VI	0
1991	12	VS	229
1992	1	VI	3
1992	1	VS	249
1992	2	VI	1
1992	2	VS	228
1992	3	VI	1
1992	3	VS	238
1992	4	VI	0
1992	4	VS	239
1992	5	VI	0
1992	5	VS	291
1992	6	VI	0
1992	6	VS	245
1992	7	VI	0
1992	7	VS	273
1992	8	VI	2
1992	8	VS	265
1992	9	VI	9
1992	9	VS	272
1992	10	VI	0
1992	10	VS	244
1992	11	VI	2
1992	11	VS	260
1992	12	VI	0
1992	12	VS	293
1993	1	VI	1
1993	1	VS	305
1993	2	VI	13
1993	2	VS	290
1993	3	VI	1
1993	3	VS	266
1993	4	VI	7
1993	4	VS	260
1993	5	VI	2
1993	5	VS	282
1993	6	VI	0
1993	6	VS	269
1993	7	VI	0
1993	7	VS	204
1993	8	VI	0
1993	8	VS	238
1993	9	VI	2
1993	9	VS	250
1993	10	VI	2
1993	10	VS	267
1993	11	VI	3
1993	11	VS	400
1993	12	VI	1
1993	12	VS	300
1994	1	VI	0
1994	1	VS	293
1994	2	VI	0
1994	2	VS	254
1994	3	VI	2
1994	3	VS	271
1994	4	VI	0
1994	4	VS	289
1994	5	VI	0
1994	5	VS	228
1994	6	VI	0
1994	6	VS	258
1994	7	VI	0
1994	7	VS	222
1994	8	VI	0
1994	8	VS	210
1994	9	VI	1
1994	9	VS	264
1994	10	VI	0
1994	10	VS	262
1994	11	VI	6
1994	11	VS	239
1994	12	VI	0
1994	12	VS	285
1995	1	VI	0
1995	1	VS	369
1995	2	VI	1
1995	2	VS	252
1995	3	VI	3
1995	3	VS	357
1995	4	VI	0
1995	4	VS	270
1995	5	VI	1
1995	5	VS	398
1995	6	VI	29
1995	6	VS	369
1995	7	VI	0
1995	7	VS	386
1995	8	VI	0
1995	8	VS	421
1995	9	VI	1
1995	9	VS	382
1995	10	VI	2
1995	10	VS	291
1995	11	VI	1
1995	11	VS	277
1995	12	VI	3
1995	12	VS	339
1996	1	VI	0
1996	1	VS	344
1996	2	VI	0
1996	2	VS	337
1996	3	VI	0
1996	3	VS	316
1996	4	VI	0
1996	4	VS	409
1996	5	VI	1
1996	5	VS	478
1996	6	VI	1
1996	6	VS	505
1996	7	VI	0
1996	7	VS	478
1996	8	VI	0
1996	8	VS	468
1996	9	VI	0
1996	9	VS	484
1996	10	VI	2
1996	10	VS	477
1996	11	VI	2
1996	11	VS	526
1996	12	VI	2
1996	12	VS	466
1997	1	VI	5
1997	1	VS	524
1997	2	VI	11
1997	2	VS	417
1997	3	VI	2
1997	3	VS	496
1997	4	VI	2
1997	4	VS	462
1997	5	VI	1
1997	5	VS	585
1997	6	VI	8
1997	6	VS	514
1997	7	VI	21
1997	7	VS	528
1997	8	VI	0
1997	8	VS	520
1997	9	VI	8
1997	9	VS	473
1997	10	VI	1
1997	10	VS	407
1997	11	VI	0
1997	11	VS	543
1997	12	VI	1
1997	12	VS	475
1998	1	VI	0
1998	1	VS	417
1998	2	VI	17
1998	2	VS	351
1998	3	VI	1
1998	3	VS	367
1998	4	VI	0
1998	4	VS	400
1998	5	VI	1
1998	5	VS	377
1998	6	VI	2
1998	6	VS	395
1998	7	VI	1
1998	7	VS	420
1998	8	VI	1
1998	8	VS	461
1998	9	VI	2
1998	9	VS	419
1998	10	VI	1
1998	10	VS	485
1998	11	VI	0
1998	11	VS	430
1998	12	VI	0
1998	12	VS	380
1999	1	VI	0
1999	1	VS	491
1999	2	VI	0
1999	2	VS	426
1999	3	VI	1
1999	3	VS	373
1999	4	VI	0
1999	4	VS	388
1999	5	VI	1
1999	5	VS	449
1999	6	VI	0
1999	6	VS	483
1999	7	VI	10
1999	7	VS	444
1999	8	VI	7
1999	8	VS	411
1999	9	VI	3
1999	9	VS	387
1999	10	VI	0
1999	10	VS	428
1999	11	VI	1
1999	11	VS	471
1999	12	VI	2
1999	12	VS	503
2000	1	VI	2
2000	1	VS	567
2000	2	VI	4
2000	2	VS	481
2000	3	VI	3
2000	3	VS	597
2000	4	VI	2
2000	4	VS	546
2000	5	VI	2
2000	5	VS	531
2000	6	VI	3
2000	6	VS	514
2000	7	VI	4
2000	7	VS	541
2000	8	VI	3
2000	8	VS	682
2000	9	VI	1
2000	9	VS	550
2000	10	VI	0
2000	10	VS	566
2000	11	VI	2
2000	11	VS	627
2000	12	VI	29
2000	12	VS	651
2001	1	VI	3
2001	1	VS	704
2001	2	VI	0
2001	2	VS	565
2001	3	VI	4
2001	3	VS	568
2001	4	VI	4
2001	4	VS	609
2001	5	VI	3
2001	5	VS	483
2001	6	VI	8
2001	6	VS	528
2001	7	VI	6
2001	7	VS	446
2001	8	VI	8
2001	8	VS	565
2001	9	VI	2
2001	9	VS	528
2001	10	VI	15
2001	10	VS	639
2001	11	VI	3
2001	11	VS	587
2001	12	VI	6
2001	12	VS	635
2002	1	VI	3
2002	1	VS	580
2002	2	VI	4
2002	2	VS	472
2002	3	VI	3
2002	3	VS	540
2002	4	VI	2
2002	4	VS	612
2002	5	VI	8
2002	5	VS	723
2002	6	VI	13
2002	6	VS	585
2002	7	VI	6
2002	7	VS	483
2002	8	VI	9
2002	8	VS	517
2002	9	VI	12
2002	9	VS	457
2002	10	VI	6
2002	10	VS	458
2002	11	VI	6
2002	11	VS	476
2002	12	VI	8
2002	12	VS	408
2003	1	VI	7
2003	1	VS	462
2003	2	VI	20
2003	2	VS	327
2003	3	VI	14
2003	3	VS	376
2003	4	VI	18
2003	4	VS	344
2003	5	VI	15
2003	5	VS	363
2003	6	VI	13
2003	6	VS	318
2003	7	VI	13
2003	7	VS	281
2003	8	VI	7
2003	8	VS	273
2003	9	VI	11
2003	9	VS	286
2003	10	VI	22
2003	10	VS	278
2003	11	VI	9
2003	11	VS	258
2003	12	VI	10
2003	12	VS	266
2004	1	VI	10
2004	1	VS	233
2004	2	VI	24
2004	2	VS	238
2004	3	VI	29
2004	3	VS	212
2004	4	VI	21
2004	4	VS	228
2004	5	VI	26
2004	5	VS	234
2004	6	VI	17
2004	6	VS	200
2004	7	VI	22
2004	7	VS	209
2004	8	VI	14
2004	8	VS	210
2004	9	VI	23
2004	9	VS	198
2004	10	VI	31
2004	10	VS	181
2004	11	VI	22
2004	11	VS	175
2004	12	VI	22
2004	12	VS	169
2005	1	VI	19
2005	1	VS	159
2005	2	VI	15
2005	2	VS	157
2005	3	VI	20
2005	3	VS	150
2005	4	VI	25
2005	4	VS	157
2005	5	VI	32
2005	5	VS	167
2005	6	VI	9
2005	6	VS	178
2005	7	VI	13
2005	7	VS	122
2005	8	VI	6
2005	8	VS	151
2005	9	VI	10
2005	9	VS	85
2005	10	VI	10
2005	10	VS	73
2005	11	VI	20
2005	11	VS	101
2005	12	VI	23
2005	12	VS	78
2006	1	VI	13
2006	1	VS	82
2006	2	VI	11
2006	2	VS	114
2006	3	VI	14
2006	3	VS	81
2006	4	VI	20
2006	4	VS	56
2006	5	VI	14
2006	5	VS	73
2006	6	VI	16
2006	6	VS	84
2006	7	VI	34
2006	7	VS	79
2006	8	VI	27
2006	8	VS	89
2006	9	VI	9
2006	9	VS	68
2006	10	VI	14
2006	10	VS	74
2006	11	VI	4
2006	11	VS	92
2006	12	VI	3
2006	12	VS	93
2007	1	VI	10
2007	1	VS	99
2007	2	VI	16
2007	2	VS	61
2007	3	VI	12
2007	3	VS	62
2007	4	VI	18
2007	4	VS	55
2007	5	VI	19
2007	5	VS	54
2007	6	VI	15
2007	6	VS	56
2007	7	VI	7
2007	7	VS	56
2007	8	VI	14
2007	8	VS	44
2007	9	VI	10
2007	9	VS	51
2007	10	VI	19
2007	10	VS	51
2007	11	VI	7
2007	11	VS	33
2007	12	VI	9
2007	12	VS	45
2008	1	VI	10
2008	1	VS	69
2008	2	VI	37
2008	2	VS	53
2008	3	VI	12
2008	3	VS	72
2008	4	VI	6
2008	4	VS	44
2008	5	VI	7
2008	5	VS	31
2008	6	VI	15
2008	6	VS	32
2008	7	VI	8
2008	7	VS	52
2008	8	VI	25
2008	8	VS	46
2008	9	VI	7
2008	9	VS	41
2008	10	VI	14
2008	10	VS	35
2008	11	VI	10
2008	11	VS	39
2008	12	VI	9
2008	12	VS	28
2009	1	VI	6
2009	1	VS	36
2009	2	VI	9
2009	2	VS	30
2009	3	VI	37
2009	3	VS	33
2009	4	VI	28
2009	4	VS	47
2009	5	VI	12
2009	5	VS	30
2009	6	VI	19
2009	6	VS	24
2009	7	VI	26
2009	7	VS	45
2009	8	VI	15
2009	8	VS	33
2009	9	VI	15
2009	9	VS	21
2009	10	VI	6
2009	10	VS	38
2009	11	VI	22
2009	11	VS	25
2009	12	VI	5
2009	12	VS	23
2010	1	VI	5
2010	1	VS	34
2010	2	VI	6
2010	2	VS	21
2010	3	VI	24
2010	3	VS	23
2010	4	VI	17
2010	4	VS	18
2010	5	VI	22
2010	5	VS	27
2010	6	VI	12
2010	6	VS	28
2010	7	VI	6
2010	7	VS	42
2010	8	VI	10
2010	8	VS	15
2010	9	VI	5
2010	9	VS	18
2010	10	VI	16
2010	10	VS	32
2010	11	VI	8
2010	11	VS	6
2010	12	VI	4
2010	12	VS	9
2011	1	VI	0
2011	1	VS	18
2011	2	VI	8
2011	2	VS	28
2011	3	VI	16
2011	3	VS	29
2011	4	VI	27
2011	4	VS	16
2011	5	VI	4
2011	5	VS	32
2011	6	VI	6
2011	6	VS	31
2011	7	VI	9
2011	7	VS	19
2011	8	VI	8
2011	8	VS	11
2011	9	VI	9
2011	9	VS	11
2011	10	VI	3
2011	10	VS	15
2011	11	VI	16
2011	11	VS	34
2011	12	VI	8
2011	12	VS	19
2012	1	VI	9
2012	1	VS	27
2012	2	VI	8
2012	2	VS	13
2012	3	VI	7
2012	3	VS	18
2012	4	VI	12
2012	4	VS	6
2012	5	VI	7
2012	5	VS	16
2012	6	VI	13
2012	6	VS	19
2012	7	VI	5
2012	7	VS	11
2012	8	VI	7
2012	8	VS	19
2012	9	VI	10
2012	9	VS	20
2012	10	VI	9
2012	10	VS	17
2012	11	VI	10
2012	11	VS	30
2012	12	VI	2
2012	12	VS	14
2013	1	VI	14
2013	1	VS	31
2013	2	VI	15
2013	2	VS	15
2013	3	VI	4
2013	3	VS	15
2013	4	VI	6
2013	4	VS	8
2013	5	VI	7
2013	5	VS	11
2013	6	VI	7
2013	6	VS	11
2013	7	VI	4
2013	7	VS	6
2013	8	VI	1
2013	8	VS	30
2013	9	VI	9
2013	9	VS	10
2013	10	VI	7
2013	10	VS	7
2013	11	VI	11
2013	11	VS	27
2013	12	VI	8
2013	12	VS	5
2014	1	VI	6
2014	1	VS	5
2014	2	VI	4
2014	2	VS	10
2014	3	VI	7
2014	3	VS	12
2014	4	VI	5
2014	4	VS	15
2014	5	VI	4
2014	5	VS	9
2014	6	VI	4
2014	6	VS	8
2014	7	VI	4
2014	7	VS	11
2014	8	VI	3
2014	8	VS	11
2014	9	VI	5
2014	9	VS	5
2014	10	VI	8
2014	10	VS	8
2014	11	VI	4
2014	11	VS	13
2014	12	VI	1
2014	12	VS	13
2015	1	VI	2
2015	1	VS	7
2015	2	VI	2
2015	2	VS	11
2015	3	VI	6
2015	3	VS	10
2015	4	VI	0
2015	4	VS	6
2015	5	VI	1
2015	5	VS	7
2015	6	VI	1
2015	6	VS	10
2015	7	VI	3
2015	7	VS	11
2015	8	VI	4
2015	8	VS	2
2015	9	VI	0
2015	9	VS	9
2015	10	VI	0
2015	10	VS	13
2015	11	VI	0
2015	11	VS	4
2015	12	VI	1
2015	12	VS	5
2016	1	VI	1
2016	1	VS	14
2016	2	VI	0
2016	2	VS	9
