Año	Mes	violence type	CaseCount
2006	1	VS	27
2006	2	VI	0
2006	2	VS	20
2006	3	VI	0
2006	3	VS	15
2006	4	VI	1
2006	4	VS	8
2006	5	VI	1
2006	5	VS	11
2006	6	VI	0
2006	6	VS	14
2006	7	VI	2
2006	7	VS	18
2006	8	VI	2
2006	8	VS	11
2006	9	VI	1
2006	9	VS	8
2006	10	VI	2
2006	10	VS	21
2006	11	VI	3
2006	11	VS	21
2006	12	VI	0
2006	12	VS	15
2007	1	VI	3
2007	1	VS	11
2007	2	VI	1
2007	2	VS	15
2007	3	VI	0
2007	3	VS	15
2007	4	VI	0
2007	4	VS	14
2007	5	VI	1
2007	5	VS	17
2007	6	VI	1
2007	6	VS	10
2007	7	VI	0
2007	7	VS	8
2007	8	VI	0
2007	8	VS	8
2007	9	VI	0
2007	9	VS	12
2007	10	VI	0
2007	10	VS	11
2007	11	VI	0
2007	11	VS	16
2007	12	VI	1
2007	12	VS	10
2008	1	VI	0
2008	1	VS	20
2008	2	VI	0
2008	2	VS	7
2008	3	VI	1
2008	3	VS	8
2008	4	VI	0
2008	4	VS	11
2008	5	VI	0
2008	5	VS	8
2008	6	VI	0
2008	6	VS	10
2008	7	VI	0
2008	7	VS	10
2008	8	VI	1
2008	8	VS	10
2008	9	VI	0
2008	9	VS	7
2008	10	VI	1
2008	10	VS	16
2008	11	VI	0
2008	11	VS	11
2008	12	VI	0
2008	12	VS	12
2009	1	VI	0
2009	1	VS	11
2009	2	VI	0
2009	2	VS	10
2009	3	VI	1
2009	3	VS	14
2009	4	VI	0
2009	4	VS	7
2009	5	VI	0
2009	5	VS	13
2009	6	VI	0
2009	6	VS	8
2009	7	VI	1
2009	7	VS	21
2009	8	VI	1
2009	8	VS	19
2009	9	VI	0
2009	9	VS	16
2009	10	VI	1
2009	10	VS	26
2009	11	VI	0
2009	11	VS	10
2009	12	VI	1
2009	12	VS	5
2010	1	VI	0
2010	1	VS	7
2010	2	VI	1
2010	2	VS	7
2010	3	VI	0
2010	3	VS	6
2010	4	VI	0
2010	4	VS	6
2010	5	VI	0
2010	5	VS	4
2010	6	VI	0
2010	6	VS	7
2010	7	VI	0
2010	7	VS	8
2010	8	VI	1
2010	8	VS	3
2010	9	VI	1
2010	9	VS	9
2010	10	VI	0
2010	10	VS	7
2010	11	VI	1
2010	11	VS	4
2010	12	VI	0
2010	12	VS	7
2011	1	VI	0
2011	1	VS	1
2011	2	VI	0
2011	2	VS	1
2011	3	VI	0
2011	3	VS	3
2011	4	VI	0
2011	4	VS	3
2011	5	VI	1
2011	5	VS	2
2011	6	VI	0
2011	6	VS	2
2011	7	VI	0
2011	7	VS	6
2011	8	VI	0
2011	8	VS	7
2011	9	VI	0
2011	9	VS	5
2011	10	VI	0
2011	10	VS	3
2011	11	VI	0
2011	11	VS	1
2011	12	VI	0
2011	12	VS	3
2012	1	VI	1
2012	1	VS	3
2012	2	VI	0
2012	2	VS	4
2012	3	VI	0
2012	3	VS	1
2012	4	VI	0
2012	4	VS	3
2012	5	VI	0
2012	5	VS	7
2012	6	VI	0
2012	6	VS	2
2012	7	VI	0
2012	7	VS	6
2012	8	VI	0
2012	8	VS	2
2012	9	VI	0
2012	9	VS	6
2012	10	VI	0
2012	10	VS	8
2012	11	VI	0
2012	11	VS	6
2012	12	VI	0
2012	12	VS	2
2013	1	VI	1
2013	1	VS	2
2013	2	VI	0
2013	2	VS	1
2013	3	VI	0
2013	3	VS	2
2013	4	VI	0
2013	4	VS	6
2013	5	VI	0
2013	5	VS	5
2013	6	VI	0
2013	6	VS	2
2013	7	VI	0
2013	7	VS	4
2013	8	VI	0
2013	8	VS	2
2013	9	VI	0
2013	9	VS	4
2013	10	VI	0
2013	10	VS	5
2013	11	VI	0
2013	11	VS	4
2013	12	VI	1
2013	12	VS	5
2014	1	VI	0
2014	1	VS	4
2014	2	VI	0
2014	2	VS	7
2014	3	VI	0
2014	3	VS	5
2014	4	VI	1
2014	4	VS	6
2014	5	VI	0
2014	5	VS	6
2014	6	VI	0
2014	6	VS	4
2014	7	VI	0
2014	7	VS	4
2014	8	VI	0
2014	8	VS	4
2014	9	VI	0
2014	9	VS	6
2014	10	VI	0
2014	10	VS	4
2014	11	VI	0
2014	11	VS	3
2014	12	VI	0
2014	12	VS	3
2015	1	VI	0
2015	1	VS	3
2015	2	VI	0
2015	2	VS	4
2015	3	VI	0
2015	3	VS	5
2015	4	VI	0
2015	4	VS	7
2015	5	VI	0
2015	5	VS	7
2015	6	VI	0
2015	6	VS	3
2015	7	VI	0
2015	7	VS	9
2015	8	VI	0
2015	8	VS	8
2015	9	VI	0
2015	9	VS	1
2015	10	VI	0
2015	10	VS	1
2015	11	VI	0
2015	11	VS	3
2015	12	VI	0
2015	12	VS	5
2016	1	VI	0
2016	1	VS	6
