Año	Mes	violence type	CaseCount
1983	4	VS	78
1983	5	VI	1
1983	5	VS	82
1983	6	VI	0
1983	6	VS	75
1983	7	VI	0
1983	7	VS	99
1983	8	VI	0
1983	8	VS	90
1983	9	VI	0
1983	9	VS	58
1983	10	VI	0
1983	10	VS	54
1983	11	VI	2
1983	11	VS	77
1983	12	VI	0
1983	12	VS	55
1984	1	VI	2
1984	1	VS	107
1984	2	VI	0
1984	2	VS	91
1984	3	VI	1
1984	3	VS	83
1984	4	VI	2
1984	4	VS	97
1984	5	VI	0
1984	5	VS	114
1984	6	VI	0
1984	6	VS	83
1984	7	VI	1
1984	7	VS	84
1984	8	VI	0
1984	8	VS	114
1984	9	VI	2
1984	9	VS	67
1984	10	VI	0
1984	10	VS	112
1984	11	VI	0
1984	11	VS	78
1984	12	VI	3
1984	12	VS	97
1985	1	VI	1
1985	1	VS	218
1985	2	VI	0
1985	2	VS	122
1985	3	VI	0
1985	3	VS	164
1985	4	VI	1
1985	4	VS	167
1985	5	VI	2
1985	5	VS	173
1985	6	VI	0
1985	6	VS	187
1985	7	VI	0
1985	7	VS	204
1985	8	VI	1
1985	8	VS	158
1985	9	VI	3
1985	9	VS	136
1985	10	VI	1
1985	10	VS	152
1985	11	VI	1
1985	11	VS	213
1985	12	VI	0
1985	12	VS	232
1986	1	VI	0
1986	1	VS	327
1986	2	VI	0
1986	2	VS	150
1986	3	VI	0
1986	3	VS	203
1986	4	VI	1
1986	4	VS	212
1986	5	VI	1
1986	5	VS	179
1986	6	VI	0
1986	6	VS	228
1986	7	VI	0
1986	7	VS	170
1986	8	VI	0
1986	8	VS	204
1986	9	VI	0
1986	9	VS	217
1986	10	VI	0
1986	10	VS	196
1986	11	VI	0
1986	11	VS	220
1986	12	VI	1
1986	12	VS	222
1987	1	VI	3
1987	1	VS	321
1987	2	VI	1
1987	2	VS	188
1987	3	VI	0
1987	3	VS	218
1987	4	VI	1
1987	4	VS	214
1987	5	VI	0
1987	5	VS	201
1987	6	VI	0
1987	6	VS	206
1987	7	VI	2
1987	7	VS	220
1987	8	VI	0
1987	8	VS	256
1987	9	VI	2
1987	9	VS	212
1987	10	VI	3
1987	10	VS	269
1987	11	VI	1
1987	11	VS	245
1987	12	VI	1
1987	12	VS	293
1988	1	VI	2
1988	1	VS	448
1988	2	VI	0
1988	2	VS	365
1988	3	VI	4
1988	3	VS	319
1988	4	VI	6
1988	4	VS	315
1988	5	VI	0
1988	5	VS	312
1988	6	VI	0
1988	6	VS	354
1988	7	VI	0
1988	7	VS	360
1988	8	VI	0
1988	8	VS	376
1988	9	VI	0
1988	9	VS	318
1988	10	VI	0
1988	10	VS	401
1988	11	VI	0
1988	11	VS	401
1988	12	VI	1
1988	12	VS	470
1989	1	VI	3
1989	1	VS	578
1989	2	VI	1
1989	2	VS	396
1989	3	VI	4
1989	3	VS	321
1989	4	VI	3
1989	4	VS	349
1989	5	VI	0
1989	5	VS	411
1989	6	VI	0
1989	6	VS	390
1989	7	VI	3
1989	7	VS	394
1989	8	VI	2
1989	8	VS	368
1989	9	VI	0
1989	9	VS	309
1989	10	VI	3
1989	10	VS	356
1989	11	VI	2
1989	11	VS	404
1989	12	VI	3
1989	12	VS	459
1990	1	VI	5
1990	1	VS	687
1990	2	VI	4
1990	2	VS	475
1990	3	VI	1
1990	3	VS	509
1990	4	VI	3
1990	4	VS	455
1990	5	VI	1
1990	5	VS	485
1990	6	VI	5
1990	6	VS	465
1990	7	VI	1
1990	7	VS	501
1990	8	VI	1
1990	8	VS	461
1990	9	VI	3
1990	9	VS	410
1990	10	VI	3
1990	10	VS	420
1990	11	VI	1
1990	11	VS	445
1990	12	VI	1
1990	12	VS	465
1991	1	VI	2
1991	1	VS	734
1991	2	VI	1
1991	2	VS	544
1991	3	VI	2
1991	3	VS	557
1991	4	VI	3
1991	4	VS	479
1991	5	VI	3
1991	5	VS	512
1991	6	VI	7
1991	6	VS	531
1991	7	VI	4
1991	7	VS	500
1991	8	VI	2
1991	8	VS	534
1991	9	VI	1
1991	9	VS	527
1991	10	VI	2
1991	10	VS	470
1991	11	VI	5
1991	11	VS	552
1991	12	VI	5
1991	12	VS	552
1992	1	VI	13
1992	1	VS	672
1992	2	VI	3
1992	2	VS	480
1992	3	VI	6
1992	3	VS	507
1992	4	VI	5
1992	4	VS	510
1992	5	VI	3
1992	5	VS	562
1992	6	VI	7
1992	6	VS	522
1992	7	VI	2
1992	7	VS	583
1992	8	VI	6
1992	8	VS	584
1992	9	VI	4
1992	9	VS	567
1992	10	VI	4
1992	10	VS	502
1992	11	VI	5
1992	11	VS	530
1992	12	VI	3
1992	12	VS	621
1993	1	VI	10
1993	1	VS	714
1993	2	VI	8
1993	2	VS	546
1993	3	VI	3
1993	3	VS	557
1993	4	VI	7
1993	4	VS	509
1993	5	VI	7
1993	5	VS	535
1993	6	VI	4
1993	6	VS	544
1993	7	VI	2
1993	7	VS	450
1993	8	VI	8
1993	8	VS	496
1993	9	VI	6
1993	9	VS	512
1993	10	VI	4
1993	10	VS	523
1993	11	VI	7
1993	11	VS	640
1993	12	VI	5
1993	12	VS	619
1994	1	VI	8
1994	1	VS	754
1994	2	VI	5
1994	2	VS	526
1994	3	VI	7
1994	3	VS	506
1994	4	VI	10
1994	4	VS	536
1994	5	VI	5
1994	5	VS	522
1994	6	VI	2
1994	6	VS	617
1994	7	VI	7
1994	7	VS	524
1994	8	VI	8
1994	8	VS	598
1994	9	VI	6
1994	9	VS	549
1994	10	VI	5
1994	10	VS	602
1994	11	VI	8
1994	11	VS	550
1994	12	VI	3
1994	12	VS	574
1995	1	VI	13
1995	1	VS	883
1995	2	VI	6
1995	2	VS	578
1995	3	VI	5
1995	3	VS	710
1995	4	VI	6
1995	4	VS	614
1995	5	VI	7
1995	5	VS	699
1995	6	VI	9
1995	6	VS	703
1995	7	VI	5
1995	7	VS	681
1995	8	VI	5
1995	8	VS	688
1995	9	VI	4
1995	9	VS	721
1995	10	VI	4
1995	10	VS	632
1995	11	VI	2
1995	11	VS	628
1995	12	VI	7
1995	12	VS	711
1996	1	VI	16
1996	1	VS	1008
1996	2	VI	6
1996	2	VS	738
1996	3	VI	9
1996	3	VS	807
1996	4	VI	7
1996	4	VS	813
1996	5	VI	6
1996	5	VS	952
1996	6	VI	9
1996	6	VS	959
1996	7	VI	6
1996	7	VS	928
1996	8	VI	12
1996	8	VS	903
1996	9	VI	2
1996	9	VS	841
1996	10	VI	8
1996	10	VS	938
1996	11	VI	3
1996	11	VS	956
1996	12	VI	9
1996	12	VS	960
1997	1	VI	16
1997	1	VS	1345
1997	2	VI	17
1997	2	VS	1042
1997	3	VI	8
1997	3	VS	1118
1997	4	VI	11
1997	4	VS	1050
1997	5	VI	10
1997	5	VS	1151
1997	6	VI	11
1997	6	VS	1157
1997	7	VI	9
1997	7	VS	1101
1997	8	VI	13
1997	8	VS	1205
1997	9	VI	10
1997	9	VS	1205
1997	10	VI	7
1997	10	VS	1048
1997	11	VI	11
1997	11	VS	1116
1997	12	VI	5
1997	12	VS	1046
1998	1	VI	21
1998	1	VS	1359
1998	2	VI	17
1998	2	VS	957
1998	3	VI	3
1998	3	VS	1183
1998	4	VI	4
1998	4	VS	981
1998	5	VI	9
1998	5	VS	1107
1998	6	VI	10
1998	6	VS	1004
1998	7	VI	6
1998	7	VS	1012
1998	8	VI	8
1998	8	VS	1175
1998	9	VI	14
1998	9	VS	1090
1998	10	VI	9
1998	10	VS	1114
1998	11	VI	10
1998	11	VS	1150
1998	12	VI	13
1998	12	VS	1040
1999	1	VI	28
1999	1	VS	1539
1999	2	VI	6
1999	2	VS	1030
1999	3	VI	9
1999	3	VS	1148
1999	4	VI	19
1999	4	VS	1013
1999	5	VI	12
1999	5	VS	1244
1999	6	VI	9
1999	6	VS	1283
1999	7	VI	14
1999	7	VS	1181
1999	8	VI	16
1999	8	VS	1260
1999	9	VI	11
1999	9	VS	1275
1999	10	VI	9
1999	10	VS	1305
1999	11	VI	15
1999	11	VS	1392
1999	12	VI	23
1999	12	VS	1395
2000	1	VI	65
2000	1	VS	2133
2000	2	VI	20
2000	2	VS	1599
2000	3	VI	33
2000	3	VS	1767
2000	4	VI	36
2000	4	VS	1580
2000	5	VI	29
2000	5	VS	1661
2000	6	VI	34
2000	6	VS	1695
2000	7	VI	25
2000	7	VS	1558
2000	8	VI	25
2000	8	VS	1767
2000	9	VI	25
2000	9	VS	1734
2000	10	VI	11
2000	10	VS	1574
2000	11	VI	32
2000	11	VS	1839
2000	12	VI	40
2000	12	VS	1780
2001	1	VI	65
2001	1	VS	2348
2001	2	VI	42
