Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1965	1	VI	13.0	1	-1	G
1965	1	VS	25.0	1	1	G
1965	2	VC	42.0	1	1	A
1965	2	VI	24.0	1	1	G
1965	2	VS	18.0	-1	-1	A
1965	3	VC	42.0	0	1	A
1965	3	VI	20.0	-1	1	A
1965	3	VS	22.0	1	1	I
1965	4	VC	32.0	-1	-1	B
1965	4	VI	13.0	-1	-1	C
1965	4	VS	19.0	-1	-1	A
1965	5	VC	27.0	-1	-1	I
1965	5	VI	11.0	-1	-1	I
1965	5	VS	16.0	-1	-1	I
1965	6	VC	26.0	-1	-1	I
1965	6	VI	19.0	1	1	I
1965	6	VS	7.0	-1	-1	I
1965	7	VC	43.0	1	1	I
1965	7	VI	26.0	1	1	A
1965	7	VS	17.0	1	-1	I
1965	8	VC	15.0	-1	-1	A
1965	8	VI	10.0	-1	-1	A
1965	8	VS	5.0	-1	-1	G
1965	9	VC	28.0	1	-1	I
1965	9	VI	22.0	1	1	I
1965	9	VS	6.0	1	-1	I
1965	10	VC	30.0	1	-1	G
1965	10	VI	17.0	-1	1	A
1965	10	VS	13.0	1	-1	G
1965	11	VC	22.0	-1	-1	G
1965	11	VI	13.0	-1	-1	C
1965	11	VS	9.0	-1	-1	G
1965	12	VC	19.0	-1	-1	I
1965	12	VI	13.0	0	-1	I
1965	12	VS	6.0	-1	-1	I
1966	1	VC	26.0	1	-1	I
1966	1	VI	12.0	-1	-1	H
1966	1	VS	14.0	1	-1	I
1966	2	VC	11.0	-1	-1	G
1966	2	VI	9.0	-1	-1	I
1966	2	VS	2.0	-1	-1	G
1966	3	VC	10.0	-1	-1	I
1966	3	VI	10.0	1	-1	I
1966	3	VS	0.0	-1	-1	I
1966	4	VC	17.0	1	-1	I
1966	4	VI	9.0	-1	-1	G
1966	4	VS	8.0	1	-1	I
1966	5	VC	11.0	-1	-1	G
1966	5	VI	6.0	-1	-1	I
1966	5	VS	5.0	-1	-1	G
1966	6	VC	14.0	1	-1	I
1966	6	VI	7.0	1	-1	I
1966	6	VS	7.0	1	-1	I
1966	7	VC	12.0	-1	-1	G
1966	7	VI	8.0	1	-1	G
1966	7	VS	4.0	-1	-1	G
1966	8	VC	10.0	-1	-1	I
1966	8	VI	7.0	-1	-1	G
1966	8	VS	3.0	-1	-1	I
1966	9	VC	15.0	1	-1	I
1966	9	VI	11.0	1	-1	I
1966	9	VS	4.0	1	-1	I
1966	10	VC	3.0	-1	-1	G
1966	10	VI	1.0	-1	-1	G
1966	10	VS	2.0	-1	-1	G
1966	11	VC	2.0	-1	-1	I
1966	11	VI	0.0	-1	-1	I
1966	11	VS	2.0	0	-1	I
1966	12	VC	0.0	-1	-1	I
1966	12	VI	0.0	0	-1	I
1966	12	VS	0.0	-1	-1	H
1967	1	VC	0.0	0	-1	I
1967	1	VI	0.0	0	-1	H
1967	1	VS	0.0	0	-1	I
1967	2	VC	1.0	1	-1	H
1967	2	VI	1.0	1	-1	H
1967	2	VS	0.0	0	-1	H
1967	3	VC	6.0	1	-1	G
1967	3	VI	5.0	1	-1	G
1967	3	VS	1.0	1	-1	H
1967	4	VC	0.0	-1	-1	G
1967	4	VI	0.0	-1	-1	G
1967	4	VS	0.0	-1	-1	G
1967	5	VC	0.0	0	-1	I
1967	5	VI	0.0	0	-1	I
1967	5	VS	0.0	0	-1	I
1967	6	VC	2.0	1	-1	H
1967	6	VI	0.0	0	-1	H
1967	6	VS	2.0	1	-1	H
1967	7	VC	2.0	0	-1	G
1967	7	VI	0.0	0	-1	H
1967	7	VS	2.0	0	-1	G
1967	8	VC	0.0	-1	-1	H
1967	8	VI	0.0	0	-1	H
1967	8	VS	0.0	-1	-1	H
1967	9	VC	1.0	1	-1	I
1967	9	VI	1.0	1	-1	H
1967	9	VS	0.0	0	-1	I
1967	10	VC	0.0	-1	-1	G
1967	10	VI	0.0	-1	-1	G
1967	10	VS	0.0	0	-1	H
1967	11	VC	0.0	0	-1	I
1967	11	VI	0.0	0	-1	I
1967	11	VS	0.0	0	-1	H
1967	12	VC	2.0	1	-1	H
1967	12	VI	0.0	0	-1	H
1967	12	VS	2.0	1	-1	H
1968	1	VC	19.0	1	1	G
1968	1	VI	9.0	1	1	H
1968	1	VS	10.0	1	1	G
1968	2	VC	10.0	-1	-1	A
1968	2	VI	5.0	-1	-1	A
1968	2	VS	5.0	-1	-1	A
1968	3	VC	14.0	1	1	I
1968	3	VI	4.0	-1	-1	I
1968	3	VS	10.0	1	1	I
1968	4	VC	11.0	-1	-1	A
1968	4	VI	5.0	1	-1	I
1968	4	VS	6.0	-1	1	A
1968	5	VC	8.0	-1	-1	I
1968	5	VI	2.0	-1	-1	G
1968	5	VS	6.0	0	1	C
1968	6	VC	7.0	-1	-1	I
1968	6	VI	4.0	1	-1	I
1968	6	VS	3.0	-1	-1	B
1968	7	VC	4.0	-1	-1	I
1968	7	VI	2.0	-1	-1	G
1968	7	VS	2.0	-1	-1	I
1968	8	VC	4.0	0	-1	I
1968	8	VI	1.0	-1	-1	I
1968	8	VS	3.0	1	-1	I
1968	9	VC	11.0	1	1	H
1968	9	VI	3.0	1	-1	I
1968	9	VS	8.0	1	1	G
1968	10	VC	12.0	1	1	A
1968	10	VI	7.0	1	1	G
1968	10	VS	5.0	-1	1	A
1968	11	VC	13.0	1	1	A
1968	11	VI	2.0	-1	-1	A
1968	11	VS	11.0	1	1	C
1968	12	VC	6.0	-1	-1	A
1968	12	VI	2.0	0	-1	I
1968	12	VS	4.0	-1	1	A
1969	1	VC	3.0	-1	-1	I
1969	1	VI	1.0	-1	-1	H
1969	1	VS	2.0	-1	-1	C
1969	2	VC	9.0	1	1	I
1969	2	VI	4.0	1	1	I
1969	2	VS	5.0	1	1	I
1969	3	VC	21.0	1	1	A
1969	3	VI	11.0	1	1	A
1969	3	VS	10.0	1	1	A
1969	4	VC	8.0	-1	1	A
1969	4	VI	2.0	-1	-1	A
1969	4	VS	6.0	-1	1	A
1969	5	VC	8.0	0	1	C
1969	5	VI	2.0	0	-1	I
1969	5	VS	6.0	0	1	C
1969	6	VC	8.0	0	1	B
1969	6	VI	3.0	1	1	H
1969	6	VS	5.0	-1	1	B
1969	7	VC	8.0	0	1	B
1969	7	VI	3.0	0	1	A
1969	7	VS	5.0	0	1	C
1969	8	VC	22.0	1	1	B
1969	8	VI	12.0	1	1	B
1969	8	VS	10.0	1	1	B
1969	9	VC	11.0	-1	1	A
1969	9	VI	8.0	-1	1	A
1969	9	VS	3.0	-1	-1	A
1969	10	VC	19.0	1	1	C
1969	10	VI	12.0	1	1	C
1969	10	VS	7.0	1	1	I
1969	11	VC	13.0	-1	1	A
1969	11	VI	6.0	-1	1	A
1969	11	VS	7.0	0	1	A
1969	12	VC	16.0	1	1	C
1969	12	VI	9.0	1	1	C
1969	12	VS	7.0	0	1	B
1970	1	VC	24.0	1	1	A
1970	1	VI	9.0	0	1	A
1970	1	VS	15.0	1	1	B
1970	2	VC	23.0	-1	1	A
1970	2	VI	13.0	1	1	B
1970	2	VS	10.0	-1	1	A
1970	3	VC	17.0	-1	1	C
1970	3	VI	6.0	-1	1	A
1970	3	VS	11.0	1	1	C
1970	4	VC	15.0	-1	1	C
1970	4	VI	9.0	1	1	C
1970	4	VS	6.0	-1	1	A
1970	5	VC	15.0	0	1	C
1970	5	VI	4.0	-1	-1	A
1970	5	VS	11.0	1	1	C
1970	6	VC	18.0	1	1	B
1970	6	VI	10.0	1	1	I
1970	6	VS	8.0	-1	1	A
1970	7	VC	20.0	1	1	A
1970	7	VI	11.0	1	1	A
1970	7	VS	9.0	1	1	C
1970	8	VC	11.0	-1	-1	A
1970	8	VI	6.0	-1	1	A
1970	8	VS	5.0	-1	-1	A
1970	9	VC	10.0	-1	-1	I
1970	9	VI	3.0	-1	-1	C
1970	9	VS	7.0	1	1	I
1970	10	VC	7.0	-1	-1	I
1970	10	VI	1.0	-1	-1	I
1970	10	VS	6.0	-1	-1	A
1970	11	VC	5.0	-1	-1	I
1970	11	VI	1.0	0	-1	I
1970	11	VS	4.0	-1	-1	I
1970	12	VC	8.0	1	-1	I
1970	12	VI	6.0	1	1	H
1970	12	VS	2.0	-1	-1	I
1971	1	VC	16.0	1	1	G
1971	1	VI	10.0	1	1	A
1971	1	VS	6.0	1	-1	I
1971	2	VC	20.0	1	1	A
1971	2	VI	13.0	1	1	A
1971	2	VS	7.0	1	1	G
1971	3	VC	6.0	-1	-1	A
1971	3	VI	4.0	-1	-1	A
1971	3	VS	2.0	-1	-1	A
1971	4	VC	15.0	1	1	I
1971	4	VI	11.0	1	1	I
1971	4	VS	4.0	1	-1	I
1971	5	VC	8.0	-1	-1	A
1971	5	VI	6.0	-1	-1	A
1971	5	VS	2.0	-1	-1	G
1971	6	VC	5.0	-1	-1	I
1971	6	VI	2.0	-1	-1	I
1971	6	VS	3.0	1	-1	I
1971	7	VC	9.0	1	-1	I
1971	7	VI	6.0	1	-1	I
1971	7	VS	3.0	0	-1	G
1971	8	VC	7.0	-1	-1	G
1971	8	VI	2.0	-1	-1	G
1971	8	VS	5.0	1	-1	H
1971	9	VC	7.0	0	-1	I
1971	9	VI	4.0	1	-1	I
1971	9	VS	3.0	-1	-1	G
1971	10	VC	11.0	1	-1	H
1971	10	VI	8.0	1	1	G
1971	10	VS	3.0	0	-1	I
1971	11	VC	9.0	-1	-1	G
1971	11	VI	6.0	-1	-1	A
1971	11	VS	3.0	0	-1	H
1971	12	VC	7.0	-1	-1	I
1971	12	VI	3.0	-1	-1	I
1971	12	VS	4.0	1	-1	H
1972	1	VC	16.0	1	1	I
