Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1967	7	VS	1.0	-1	-1	G
1967	8	VC	0.0	-1	-1	I
1967	8	VI	0.0	0	-1	H
1967	8	VS	0.0	-1	-1	I
1967	9	VC	1.0	1	-1	I
1967	9	VI	1.0	1	-1	H
1967	9	VS	0.0	0	-1	I
1967	10	VC	0.0	-1	-1	G
1967	10	VI	0.0	-1	-1	G
1967	10	VS	0.0	0	-1	H
1967	11	VC	0.0	0	-1	I
1967	11	VI	0.0	0	-1	I
1967	11	VS	0.0	0	-1	H
1967	12	VC	1.0	1	-1	H
1967	12	VI	0.0	0	-1	H
1967	12	VS	1.0	1	-1	H
1968	1	VC	23.0	1	-1	G
1968	1	VI	14.0	1	-1	H
1968	1	VS	9.0	1	-1	G
1968	2	VC	32.0	1	1	G
1968	2	VI	10.0	-1	-1	G
1968	2	VS	22.0	1	1	G
1968	3	VC	29.0	-1	1	A
1968	3	VI	13.0	1	-1	I
1968	3	VS	16.0	-1	1	A
1968	4	VC	62.0	1	1	C
1968	4	VI	38.0	1	1	G
1968	4	VS	24.0	1	1	C
1968	5	VC	8.0	-1	-1	A
1968	5	VI	1.0	-1	-1	A
1968	5	VS	7.0	-1	-1	A
1968	6	VC	11.0	1	-1	I
1968	6	VI	7.0	1	-1	I
1968	6	VS	4.0	-1	-1	I
1968	7	VC	4.0	-1	-1	G
1968	7	VI	2.0	-1	-1	G
1968	7	VS	2.0	-1	-1	I
1968	8	VC	17.0	1	-1	I
1968	8	VI	3.0	1	-1	I
1968	8	VS	14.0	1	1	I
1968	9	VC	18.0	1	-1	G
1968	9	VI	7.0	1	-1	G
1968	9	VS	11.0	-1	1	A
1968	10	VC	11.0	-1	-1	G
1968	10	VI	6.0	-1	-1	G
1968	10	VS	5.0	-1	-1	C
1968	11	VC	18.0	1	1	I
1968	11	VI	6.0	0	-1	I
1968	11	VS	12.0	1	1	I
1968	12	VC	7.0	-1	-1	A
1968	12	VI	2.0	-1	-1	H
1968	12	VS	5.0	-1	-1	A
1969	1	VC	2.0	-1	-1	I
1969	1	VI	1.0	-1	-1	I
1969	1	VS	1.0	-1	-1	I
1969	2	VC	12.0	1	-1	I
1969	2	VI	4.0	1	-1	I
1969	2	VS	8.0	1	1	I
1969	3	VC	48.0	1	1	G
1969	3	VI	30.0	1	1	G
1969	3	VS	18.0	1	1	A
1969	4	VC	10.0	-1	-1	A
1969	4	VI	2.0	-1	-1	A
1969	4	VS	8.0	-1	1	A
1969	5	VC	12.0	1	-1	I
1969	5	VI	4.0	1	-1	I
1969	5	VS	8.0	0	1	C
1969	6	VC	9.0	-1	-1	G
1969	6	VI	4.0	0	-1	G
1969	6	VS	5.0	-1	-1	B
1969	7	VC	17.0	1	1	I
1969	7	VI	10.0	1	1	H
1969	7	VS	7.0	1	1	I
1969	8	VC	41.0	1	1	A
1969	8	VI	27.0	1	1	A
1969	8	VS	14.0	1	1	A
1969	9	VC	28.0	-1	1	A
1969	9	VI	24.0	-1	1	A
1969	9	VS	4.0	-1	-1	A
1969	10	VC	42.0	1	1	C
1969	10	VI	14.0	-1	1	C
1969	10	VS	28.0	1	1	I
1969	11	VC	30.0	-1	1	A
