Año	Mes	violence type	VictimsCount
1978	4	VS	7
1978	5	VI	0
1978	5	VS	20
1978	6	VI	1
1978	6	VS	9
1978	7	VI	0
1978	7	VS	17
1978	8	VI	1
1978	8	VS	26
1978	9	VI	0
1978	9	VS	32
1978	10	VI	0
1978	10	VS	10
1978	11	VI	0
1978	11	VS	15
1978	12	VI	0
1978	12	VS	7
1979	1	VI	0
1979	1	VS	15
1979	2	VI	0
1979	2	VS	13
1979	3	VI	0
1979	3	VS	41
1979	4	VI	0
1979	4	VS	20
1979	5	VI	0
1979	5	VS	25
1979	6	VI	0
1979	6	VS	42
1979	7	VI	0
1979	7	VS	14
1979	8	VI	0
1979	8	VS	11
1979	9	VI	0
1979	9	VS	33
1979	10	VI	0
1979	10	VS	14
1979	11	VI	0
1979	11	VS	25
1979	12	VI	0
1979	12	VS	25
1980	1	VI	0
1980	1	VS	23
1980	2	VI	0
1980	2	VS	29
1980	3	VI	0
1980	3	VS	4
1980	4	VI	0
1980	4	VS	13
1980	5	VI	0
1980	5	VS	14
1980	6	VI	0
1980	6	VS	15
1980	7	VI	0
1980	7	VS	14
1980	8	VI	0
1980	8	VS	33
1980	9	VI	0
1980	9	VS	4
1980	10	VI	0
1980	10	VS	17
1980	11	VI	0
1980	11	VS	17
1980	12	VI	0
1980	12	VS	25
1981	1	VI	1
1981	1	VS	75
1981	2	VI	0
1981	2	VS	27
1981	3	VI	0
1981	3	VS	34
1981	4	VI	0
1981	4	VS	28
1981	5	VI	0
1981	5	VS	34
1981	6	VI	0
1981	6	VS	15
1981	7	VI	4
1981	7	VS	32
1981	8	VI	0
1981	8	VS	17
1981	9	VI	0
1981	9	VS	14
1981	10	VI	1
1981	10	VS	67
1981	11	VI	0
1981	11	VS	37
1981	12	VI	0
1981	12	VS	46
1982	1	VI	0
1982	1	VS	38
1982	2	VI	0
1982	2	VS	31
1982	3	VI	1
1982	3	VS	33
1982	4	VI	0
1982	4	VS	16
1982	5	VI	0
1982	5	VS	28
1982	6	VI	0
1982	6	VS	50
1982	7	VI	0
1982	7	VS	36
1982	8	VI	0
1982	8	VS	63
1982	9	VI	0
1982	9	VS	41
1982	10	VI	0
1982	10	VS	55
1982	11	VI	1
1982	11	VS	46
1982	12	VI	0
1982	12	VS	30
1983	1	VI	0
1983	1	VS	117
1983	2	VI	0
1983	2	VS	95
1983	3	VI	0
1983	3	VS	80
1983	4	VI	0
1983	4	VS	92
1983	5	VI	0
1983	5	VS	104
1983	6	VI	0
1983	6	VS	93
1983	7	VI	0
1983	7	VS	167
1983	8	VI	0
1983	8	VS	134
1983	9	VI	0
1983	9	VS	69
1983	10	VI	0
1983	10	VS	51
1983	11	VI	0
1983	11	VS	69
1983	12	VI	0
1983	12	VS	42
1984	1	VI	1
1984	1	VS	104
1984	2	VI	0
1984	2	VS	105
1984	3	VI	1
1984	3	VS	95
1984	4	VI	1
1984	4	VS	111
1984	5	VI	0
1984	5	VS	140
1984	6	VI	0
1984	6	VS	75
1984	7	VI	2
1984	7	VS	92
1984	8	VI	0
1984	8	VS	108
1984	9	VI	1
1984	9	VS	72
1984	10	VI	0
1984	10	VS	110
1984	11	VI	0
1984	11	VS	81
1984	12	VI	0
1984	12	VS	110
1985	1	VI	0
1985	1	VS	136
1985	2	VI	0
1985	2	VS	105
1985	3	VI	0
1985	3	VS	162
1985	4	VI	1
1985	4	VS	139
1985	5	VI	4
1985	5	VS	151
1985	6	VI	0
1985	6	VS	168
1985	7	VI	0
1985	7	VS	189
1985	8	VI	0
1985	8	VS	147
1985	9	VI	2
1985	9	VS	117
1985	10	VI	0
1985	10	VS	168
1985	11	VI	0
1985	11	VS	203
1985	12	VI	0
1985	12	VS	361
1986	1	VI	0
1986	1	VS	202
1986	2	VI	0
1986	2	VS	109
1986	3	VI	0
1986	3	VS	312
1986	4	VI	1
1986	4	VS	183
1986	5	VI	0
1986	5	VS	148
1986	6	VI	0
1986	6	VS	211
1986	7	VI	0
1986	7	VS	166
1986	8	VI	0
1986	8	VS	187
1986	9	VI	0
1986	9	VS	185
1986	10	VI	0
1986	10	VS	166
1986	11	VI	0
1986	11	VS	215
1986	12	VI	0
1986	12	VS	215
1987	1	VI	14
1987	1	VS	240
1987	2	VI	0
1987	2	VS	171
1987	3	VI	0
1987	3	VS	198
1987	4	VI	1
1987	4	VS	215
1987	5	VI	0
1987	5	VS	196
1987	6	VI	0
1987	6	VS	171
1987	7	VI	1
1987	7	VS	187
1987	8	VI	0
1987	8	VS	220
1987	9	VI	1
1987	9	VS	191
1987	10	VI	2
1987	10	VS	220
1987	11	VI	0
1987	11	VS	220
1987	12	VI	0
1987	12	VS	251
1988	1	VI	0
1988	1	VS	342
1988	2	VI	0
1988	2	VS	434
1988	3	VI	6
1988	3	VS	331
1988	4	VI	1
1988	4	VS	373
1988	5	VI	0
1988	5	VS	302
1988	6	VI	0
1988	6	VS	337
1988	7	VI	0
1988	7	VS	399
1988	8	VI	0
1988	8	VS	409
1988	9	VI	0
1988	9	VS	321
1988	10	VI	0
1988	10	VS	377
1988	11	VI	0
1988	11	VS	424
1988	12	VI	0
1988	12	VS	462
1989	1	VI	0
1989	1	VS	487
1989	2	VI	0
1989	2	VS	404
1989	3	VI	2
1989	3	VS	288
1989	4	VI	1
1989	4	VS	357
1989	5	VI	0
1989	5	VS	373
1989	6	VI	0
1989	6	VS	345
1989	7	VI	9
1989	7	VS	366
1989	8	VI	1
1989	8	VS	377
1989	9	VI	0
1989	9	VS	294
1989	10	VI	4
1989	10	VS	345
1989	11	VI	107
1989	11	VS	383
1989	12	VI	64
1989	12	VS	413
1990	1	VI	4
1990	1	VS	489
1990	2	VI	0
1990	2	VS	516
1990	3	VI	0
1990	3	VS	472
1990	4	VI	1
1990	4	VS	415
1990	5	VI	0
1990	5	VS	477
1990	6	VI	16
1990	6	VS	472
1990	7	VI	0
1990	7	VS	530
1990	8	VI	3
1990	8	VS	455
1990	9	VI	8
1990	9	VS	392
1990	10	VI	12
1990	10	VS	435
1990	11	VI	1
1990	11	VS	421
1990	12	VI	1
1990	12	VS	501
1991	1	VI	2
1991	1	VS	586
1991	2	VI	1
1991	2	VS	632
1991	3	VI	2
1991	3	VS	603
1991	4	VI	3
1991	4	VS	527
1991	5	VI	2
1991	5	VS	530
1991	6	VI	9
1991	6	VS	518
1991	7	VI	2
1991	7	VS	504
1991	8	VI	2
1991	8	VS	543
1991	9	VI	1
1991	9	VS	600
1991	10	VI	2
1991	10	VS	497
1991	11	VI	4
1991	11	VS	559
1991	12	VI	4
1991	12	VS	573
1992	1	VI	11
1992	1	VS	570
1992	2	VI	2
1992	2	VS	478
1992	3	VI	8
1992	3	VS	474
1992	4	VI	4
1992	4	VS	507
1992	5	VI	2
1992	5	VS	583
1992	6	VI	6
1992	6	VS	529
1992	7	VI	2
1992	7	VS	624
1992	8	VI	4
1992	8	VS	604
1992	9	VI	11
1992	9	VS	611
1992	10	VI	3
1992	10	VS	510
1992	11	VI	5
1992	11	VS	558
1992	12	VI	2
1992	12	VS	607
1993	1	VI	3
1993	1	VS	605
1993	2	VI	32
1993	2	VS	585
1993	3	VI	3
1993	3	VS	562
1993	4	VI	11
1993	4	VS	501
1993	5	VI	5
1993	5	VS	504
1993	6	VI	1
1993	6	VS	528
1993	7	VI	1
1993	7	VS	441
1993	8	VI	13
1993	8	VS	474
1993	9	VI	6
1993	9	VS	473
1993	10	VI	3
1993	10	VS	517
1993	11	VI	4
1993	11	VS	684
1993	12	VI	5
1993	12	VS	646
1994	1	VI	3
1994	1	VS	644
1994	2	VI	3
1994	2	VS	486
1994	3	VI	7
1994	3	VS	512
1994	4	VI	8
1994	4	VS	516
1994	5	VI	2
1994	5	VS	477
1994	6	VI	0
1994	6	VS	562
1994	7	VI	5
1994	7	VS	509
1994	8	VI	6
1994	8	VS	533
1994	9	VI	4
1994	9	VS	530
1994	10	VI	1
1994	10	VS	632
1994	11	VI	8
1994	11	VS	502
1994	12	VI	2
1994	12	VS	546
1995	1	VI	1
1995	1	VS	726
1995	2	VI	2
1995	2	VS	548
1995	3	VI	5
1995	3	VS	663
1995	4	VI	5
1995	4	VS	564
1995	5	VI	7
1995	5	VS	693
1995	6	VI	29
1995	6	VS	594
1995	7	VI	3
1995	7	VS	650
1995	8	VI	2
1995	8	VS	714
1995	9	VI	2
1995	9	VS	710
1995	10	VI	5
1995	10	VS	576
1995	11	VI	2
1995	11	VS	604
1995	12	VI	7
1995	12	VS	661
1996	1	VI	5
1996	1	VS	779
1996	2	VI	2
1996	2	VS	685
1996	3	VI	0
1996	3	VS	766
1996	4	VI	8
1996	4	VS	800
1996	5	VI	4
1996	5	VS	946
1996	6	VI	4
1996	6	VS	898
1996	7	VI	6
1996	7	VS	955
1996	8	VI	6
1996	8	VS	923
1996	9	VI	1
1996	9	VS	862
1996	10	VI	3
1996	10	VS	948
1996	11	VI	2
1996	11	VS	1013
1996	12	VI	9
1996	12	VS	973
1997	1	VI	7
1997	1	VS	1145
1997	2	VI	19
1997	2	VS	1021
1997	3	VI	5
1997	3	VS	1100
1997	4	VI	8
1997	4	VS	978
1997	5	VI	6
1997	5	VS	1226
1997	6	VI	8
1997	6	VS	1162
1997	7	VI	25
1997	7	VS	1111
1997	8	VI	4
1997	8	VS	1224
1997	9	VI	12
1997	9	VS	1244
1997	10	VI	4
1997	10	VS	1045
1997	11	VI	3
1997	11	VS	1125
1997	12	VI	4
1997	12	VS	1073
1998	1	VI	4
1998	1	VS	1084
1998	2	VI	22
1998	2	VS	917
1998	3	VI	2
1998	3	VS	1210
1998	4	VI	2
1998	4	VS	974
1998	5	VI	6
1998	5	VS	1084
1998	6	VI	6
1998	6	VS	932
1998	7	VI	5
1998	7	VS	1022
1998	8	VI	5
1998	8	VS	1301
1998	9	VI	12
1998	9	VS	1074
1998	10	VI	4
1998	10	VS	1226
1998	11	VI	6
1998	11	VS	1248
1998	12	VI	3
1998	12	VS	1014
1999	1	VI	4
1999	1	VS	1377
1999	2	VI	0
1999	2	VS	1021
1999	3	VI	2
1999	3	VS	1109
1999	4	VI	8
1999	4	VS	1018
1999	5	VI	5
1999	5	VS	1423
1999	6	VI	1
1999	6	VS	1335
1999	7	VI	14
1999	7	VS	1307
1999	8	VI	14
1999	8	VS	1345
1999	9	VI	4
1999	9	VS	1268
1999	10	VI	3
1999	10	VS	1240
1999	11	VI	6
1999	11	VS	1362
1999	12	VI	13
1999	12	VS	1422
2000	1	VI	13
2000	1	VS	1711
2000	2	VI	6
2000	2	VS	1562
2000	3	VI	22
2000	3	VS	1719
2000	4	VI	13
2000	4	VS	1557
2000	5	VI	6
2000	5	VS	1576
2000	6	VI	10
2000	6	VS	1662
2000	7	VI	10
2000	7	VS	1612
2000	8	VI	10
2000	8	VS	1856
2000	9	VI	6
2000	9	VS	1788
2000	10	VI	6
2000	10	VS	1574
2000	11	VI	15
2000	11	VS	1930
2000	12	VI	31
2000	12	VS	1686
2001	1	VI	13
2001	1	VS	2089
2001	2	VI	17
2001	2	VS	1625
2001	3	VI	21
2001	3	VS	1851
2001	4	VI	9
2001	4	VS	1673
2001	5	VI	12
2001	5	VS	1681
2001	6	VI	27
2001	6	VS	1555
2001	7	VI	18
2001	7	VS	1582
2001	8	VI	28
2001	8	VS	1804
2001	9	VI	14
2001	9	VS	1659
2001	10	VI	33
2001	10	VS	1872
2001	11	VI	18
2001	11	VS	1853
2001	12	VI	15
2001	12	VS	2016
