Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1965	7	VS	38.0	1	-1	I
1965	8	VC	4.0	-1	-1	G
1965	8	VI	0.0	-1	-1	A
1965	8	VS	4.0	-1	-1	G
1965	9	VC	8.0	1	-1	I
1965	9	VI	0.0	0	-1	I
1965	9	VS	8.0	1	-1	I
1965	10	VC	8.0	0	-1	G
1965	10	VI	0.0	0	-1	H
1965	10	VS	8.0	0	-1	G
1965	11	VC	30.0	1	-1	H
1965	11	VI	0.0	0	-1	H
1965	11	VS	30.0	1	-1	H
1965	12	VC	2.0	-1	-1	G
1965	12	VI	0.0	0	-1	H
1965	12	VS	2.0	-1	-1	G
1966	1	VC	23.0	1	-1	I
1966	1	VI	0.0	0	-1	H
1966	1	VS	23.0	1	-1	I
1966	2	VC	3.0	-1	-1	G
1966	2	VI	0.0	0	-1	H
1966	2	VS	3.0	-1	-1	G
1966	3	VC	0.0	-1	-1	I
1966	3	VI	0.0	0	-1	H
1966	3	VS	0.0	-1	-1	I
1966	4	VC	4.0	1	-1	I
1966	4	VI	0.0	0	-1	H
1966	4	VS	4.0	1	-1	I
1966	5	VC	6.0	1	-1	G
1966	5	VI	0.0	0	-1	H
1966	5	VS	6.0	1	-1	G
1966	6	VC	1.0	-1	-1	G
1966	6	VI	0.0	0	-1	H
1966	6	VS	1.0	-1	-1	G
1966	7	VC	6.0	1	-1	I
1966	7	VI	0.0	0	-1	H
1966	7	VS	6.0	1	-1	I
1966	8	VC	2.0	-1	-1	G
1966	8	VI	0.0	0	-1	H
1966	8	VS	2.0	-1	-1	G
1966	9	VC	1.0	-1	-1	I
1966	9	VI	0.0	0	-1	H
1966	9	VS	1.0	-1	-1	I
1966	10	VC	2.0	1	-1	I
1966	10	VI	0.0	0	-1	H
1966	10	VS	2.0	1	-1	I
1966	11	VC	1.0	-1	-1	G
1966	11	VI	0.0	0	-1	H
1966	11	VS	1.0	-1	-1	G
1966	12	VC	0.0	-1	-1	I
1966	12	VI	0.0	0	-1	H
1966	12	VS	0.0	-1	-1	I
1967	1	VC	0.0	0	-1	I
1967	1	VI	0.0	0	-1	H
1967	1	VS	0.0	0	-1	I
1967	2	VC	0.0	0	-1	H
1967	2	VI	0.0	0	-1	H
1967	2	VS	0.0	0	-1	H
1967	3	VC	5.0	1	-1	H
1967	3	VI	0.0	0	-1	H
1967	3	VS	5.0	1	-1	H
1967	4	VC	0.0	-1	-1	G
1967	4	VI	0.0	0	-1	H
1967	4	VS	0.0	-1	-1	G
1967	5	VC	0.0	0	-1	I
1967	5	VI	0.0	0	-1	H
1967	5	VS	0.0	0	-1	I
1967	6	VC	0.0	0	-1	H
1967	6	VI	0.0	0	-1	H
1967	6	VS	0.0	0	-1	H
1967	7	VC	1.0	1	-1	H
1967	7	VI	0.0	0	-1	H
1967	7	VS	1.0	1	-1	H
1967	8	VC	0.0	-1	-1	G
1967	8	VI	0.0	0	-1	H
1967	8	VS	0.0	-1	-1	G
1967	9	VC	0.0	0	-1	I
1967	9	VI	0.0	0	-1	H
1967	9	VS	0.0	0	-1	I
1967	10	VC	0.0	0	-1	H
1967	10	VI	0.0	0	-1	H
1967	10	VS	0.0	0	-1	H
1967	11	VC	0.0	0	-1	H
1967	11	VI	0.0	0	-1	H
1967	11	VS	0.0	0	-1	H
1967	12	VC	1.0	1	-1	H
1967	12	VI	0.0	0	-1	H
1967	12	VS	1.0	1	-1	H
1968	1	VC	9.0	1	1	G
1968	1	VI	0.0	0	-1	H
1968	1	VS	9.0	1	1	G
1968	2	VC	6.0	-1	-1	A
1968	2	VI	0.0	0	-1	H
1968	2	VS	6.0	-1	-1	A
1968	3	VC	15.0	1	1	I
1968	3	VI	0.0	0	-1	H
1968	3	VS	15.0	1	1	I
1968	4	VC	21.0	1	1	A
1968	4	VI	0.0	0	-1	H
1968	4	VS	21.0	1	1	A
1968	5	VC	4.0	-1	-1	A
1968	5	VI	0.0	0	-1	H
1968	5	VS	4.0	-1	-1	A
1968	6	VC	4.0	0	-1	I
1968	6	VI	0.0	0	-1	H
1968	6	VS	4.0	0	-1	I
1968	7	VC	0.0	-1	-1	H
1968	7	VI	0.0	0	0	H
1968	7	VS	0.0	-1	-1	H
1968	8	VC	13.0	1	1	I
1968	8	VI	0.0	0	0	E
1968	8	VS	13.0	1	1	I
1968	9	VC	7.0	-1	1	A
1968	9	VI	0.0	0	0	E
1968	9	VS	7.0	-1	1	A
1968	10	VC	4.0	-1	-1	C
1968	10	VI	0.0	0	0	E
1968	10	VS	4.0	-1	-1	C
1968	11	VC	10.0	1	1	I
1968	11	VI	0.0	0	0	E
1968	11	VS	10.0	1	1	I
1968	12	VC	3.0	-1	-1	A
1968	12	VI	0.0	0	0	E
1968	12	VS	3.0	-1	-1	A
1969	1	VC	1.0	-1	-1	I
1969	1	VI	0.0	0	0	E
1969	1	VS	1.0	-1	-1	I
1969	2	VC	8.0	1	1	I
1969	2	VI	0.0	0	0	E
1969	2	VS	8.0	1	1	I
1969	3	VC	14.0	1	1	A
1969	3	VI	0.0	0	0	E
1969	3	VS	14.0	1	1	A
1969	4	VC	6.0	-1	1	A
1969	4	VI	0.0	0	0	E
1969	4	VS	6.0	-1	1	A
1969	5	VC	8.0	1	1	C
1969	5	VI	0.0	0	0	E
1969	5	VS	8.0	1	1	C
1969	6	VC	3.0	-1	-1	A
1969	6	VI	0.0	0	0	E
1969	6	VS	3.0	-1	-1	A
1969	7	VC	5.0	1	1	I
1969	7	VI	0.0	0	0	E
1969	7	VS	5.0	1	1	I
1969	8	VC	14.0	1	1	A
