Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1964	5	VS	11.0	1	-1	I
1964	6	VC	11.0	0	-1	G
1964	6	VI	2.0	1	1	H
1964	6	VS	9.0	-1	-1	G
1964	7	VC	14.0	1	-1	H
1964	7	VI	0.0	-1	-1	A
1964	7	VS	14.0	1	-1	I
1964	8	VC	4.0	-1	-1	G
1964	8	VI	0.0	0	-1	I
1964	8	VS	4.0	-1	-1	G
1964	9	VC	3.0	-1	-1	I
1964	9	VI	0.0	0	-1	H
1964	9	VS	3.0	-1	-1	I
1964	10	VC	4.0	1	-1	I
1964	10	VI	0.0	0	-1	H
1964	10	VS	4.0	1	-1	I
1964	11	VC	2.0	-1	-1	G
1964	11	VI	0.0	0	-1	H
1964	11	VS	2.0	-1	-1	G
1964	12	VC	5.0	1	-1	I
1964	12	VI	0.0	0	-1	H
1964	12	VS	5.0	1	-1	I
1965	1	VC	24.0	1	1	G
1965	1	VI	0.0	0	-1	H
1965	1	VS	24.0	1	1	G
1965	2	VC	21.0	-1	1	A
1965	2	VI	3.0	1	1	H
1965	2	VS	18.0	-1	1	A
1965	3	VC	22.0	1	1	C
1965	3	VI	1.0	-1	1	A
1965	3	VS	21.0	1	1	C
1965	4	VC	19.0	-1	1	A
1965	4	VI	0.0	-1	-1	C
1965	4	VS	19.0	-1	1	A
1965	5	VC	15.0	-1	-1	C
1965	5	VI	0.0	0	-1	I
1965	5	VS	15.0	-1	-1	C
1965	6	VC	8.0	-1	-1	I
1965	6	VI	1.0	1	1	H
1965	6	VS	7.0	-1	-1	I
1965	7	VC	16.0	1	-1	I
1965	7	VI	1.0	0	1	A
1965	7	VS	15.0	1	-1	I
1965	8	VC	5.0	-1	-1	G
1965	8	VI	0.0	-1	-1	B
1965	8	VS	5.0	-1	-1	G
1965	9	VC	6.0	1	-1	I
1965	9	VI	0.0	0	-1	I
1965	9	VS	6.0	1	-1	I
1965	10	VC	11.0	1	-1	G
1965	10	VI	0.0	0	-1	H
1965	10	VS	11.0	1	-1	G
1965	11	VC	7.0	-1	-1	G
1965	11	VI	0.0	0	-1	H
1965	11	VS	7.0	-1	-1	G
1965	12	VC	2.0	-1	-1	I
1965	12	VI	0.0	0	-1	H
1965	12	VS	2.0	-1	-1	I
1966	1	VC	13.0	1	-1	I
1966	1	VI	0.0	0	-1	H
1966	1	VS	13.0	1	1	I
1966	2	VC	1.0	-1	-1	G
1966	2	VI	0.0	0	-1	H
1966	2	VS	1.0	-1	-1	A
1966	3	VC	0.0	-1	-1	I
1966	3	VI	0.0	0	-1	H
1966	3	VS	0.0	-1	-1	I
1966	4	VC	6.0	1	-1	I
1966	4	VI	0.0	0	-1	H
1966	4	VS	6.0	1	-1	I
1966	5	VC	5.0	-1	-1	G
1966	5	VI	0.0	0	-1	H
1966	5	VS	5.0	-1	-1	G
1966	6	VC	4.0	-1	-1	I
1966	6	VI	0.0	0	-1	H
1966	6	VS	4.0	-1	-1	I
1966	7	VC	3.0	-1	-1	I
1966	7	VI	0.0	0	-1	H
1966	7	VS	3.0	-1	-1	I
1966	8	VC	3.0	0	-1	I
1966	8	VI	0.0	0	-1	H
1966	8	VS	3.0	0	-1	I
1966	9	VC	2.0	-1	-1	H
1966	9	VI	0.0	0	-1	H
1966	9	VS	2.0	-1	-1	H
1966	10	VC	2.0	0	-1	I
1966	10	VI	0.0	0	-1	H
1966	10	VS	2.0	0	-1	I
1966	11	VC	2.0	0	-1	H
1966	11	VI	0.0	0	-1	H
1966	11	VS	2.0	0	-1	H
1966	12	VC	0.0	-1	-1	H
1966	12	VI	0.0	0	-1	H
1966	12	VS	0.0	-1	-1	H
1967	1	VC	0.0	0	-1	I
1967	1	VI	0.0	0	-1	H
1967	1	VS	0.0	0	-1	I
1967	2	VC	0.0	0	-1	H
1967	2	VI	0.0	0	-1	H
1967	2	VS	0.0	0	-1	H
1967	3	VC	1.0	1	-1	H
1967	3	VI	0.0	0	-1	H
1967	3	VS	1.0	1	-1	H
1967	4	VC	0.0	-1	-1	G
1967	4	VI	0.0	0	-1	H
1967	4	VS	0.0	-1	-1	G
1967	5	VC	0.0	0	-1	I
1967	5	VI	0.0	0	-1	H
1967	5	VS	0.0	0	-1	I
1967	6	VC	0.0	0	-1	H
1967	6	VI	0.0	0	-1	H
1967	6	VS	0.0	0	-1	H
1967	7	VC	2.0	1	-1	H
1967	7	VI	0.0	0	-1	H
1967	7	VS	2.0	1	-1	H
1967	8	VC	0.0	-1	-1	G
1967	8	VI	0.0	0	-1	H
1967	8	VS	0.0	-1	-1	G
1967	9	VC	0.0	0	-1	I
1967	9	VI	0.0	0	-1	H
1967	9	VS	0.0	0	-1	I
1967	10	VC	0.0	0	-1	H
1967	10	VI	0.0	0	-1	H
1967	10	VS	0.0	0	-1	H
1967	11	VC	0.0	0	-1	H
1967	11	VI	0.0	0	-1	H
1967	11	VS	0.0	0	-1	H
